date;steps;distance;runDistance;calories
2018-02-22;11250;7906;432;267
2018-02-23;10129;7476;2848;325
2018-02-24;13325;9350;669;311
2018-02-25;10903;7461;720;256
2018-02-26;4283;2882;318;106
2018-02-27;13402;10164;3842;433
2018-02-28;6001;4101;570;142
2018-03-01;8433;5772;717;203
2018-03-02;12340;9171;2786;365
2018-03-03;15317;10917;544;368
2018-03-04;7331;5121;375;174
2018-03-05;14092;10838;4567;482
2018-03-06;6529;4486;401;150
2018-03-07;8929;6493;1843;254
2018-03-08;8590;6043;1167;217
2018-03-09;9016;6085;662;207
2018-03-10;5176;3491;311;120
2018-03-11;7964;5615;877;200
2018-03-12;5041;3432;515;129
2018-03-13;10447;7628;2274;309
2018-03-14;7748;5337;393;183
2018-03-15;16176;12508;4560;550
2018-03-16;7354;5025;567;171
2018-03-17;9748;6597;559;213
2018-03-18;7404;5181;423;174
2018-03-19;6185;4198;592;151
2018-03-20;9049;6399;508;223
2018-03-21;12302;8453;730;282
2018-03-22;8499;5910;463;199
2018-03-23;7304;5104;781;184
2018-03-24;5944;4010;522;139
2018-03-25;14642;9963;816;322
2018-03-26;15029;10336;722;330
2018-03-27;7825;5265;787;185
2018-03-28;7820;5320;450;176
2018-03-29;7725;5274;599;171
2018-03-30;12096;9293;3833;411
2018-03-31;9241;6350;411;205
2018-04-01;14665;10660;2389;394
2018-04-02;8663;6056;459;201
2018-04-03;13457;9763;2629;377
2018-04-04;13689;9305;798;299
2018-04-05;12042;8178;714;257
2018-04-06;12492;9141;2151;347
2018-04-07;10047;7097;621;246
2018-04-08;9084;6413;402;217
2018-04-09;7876;5479;575;188
2018-04-10;14702;10766;3128;421
2018-04-11;8321;5756;632;191
2018-04-12;13574;9969;2292;373
2018-04-13;8091;5475;513;171
2018-04-14;9607;6505;866;210
2018-04-15;9322;6445;632;212
2018-04-16;15743;10786;469;350
2018-04-17;13160;8876;688;293
2018-04-18;12149;8407;584;276
2018-04-19;8339;5693;658;195
2018-04-20;7670;5320;574;186
2018-04-21;9130;6205;583;204
2018-04-22;10577;7370;745;256
2018-04-23;15922;11682;2481;432
2018-04-24;11067;7623;703;252
2018-04-25;4878;3300;340;110
2018-04-26;7849;5369;535;174
2018-04-27;9254;6435;586;214
2018-04-28;16903;11674;907;364
2018-04-29;4635;3161;494;119
2018-04-30;11003;8102;537;286
2018-05-01;15838;10793;760;346
2018-05-02;5250;3575;321;122
2018-05-03;11170;7783;811;254
2018-05-04;7778;5277;751;183
2018-05-05;4833;3259;433;113
2018-05-06;10242;7373;333;250
2018-05-07;7750;5548;344;193
2018-05-08;5983;4070;468;135
2018-05-09;6888;4724;437;155
2018-05-10;7767;5269;672;179
2018-05-11;9230;6407;753;216
2018-05-12;13041;9221;742;307
2018-05-13;5703;3921;363;130
2018-05-14;6417;4376;397;142
2018-05-15;5059;3404;472;118
2018-05-16;9492;7131;2749;311
2018-05-17;10403;7306;483;249
2018-05-18;9229;6425;475;217
2018-05-19;9197;6343;340;214
2018-05-20;11142;7835;221;252
2018-05-21;9994;7038;619;236
2018-05-22;12215;8625;583;287
2018-05-23;13026;9398;437;311
2018-05-24;5160;3592;327;124
2018-05-25;6735;4651;391;152
2018-05-26;8595;5951;824;211
2018-05-27;4043;2727;492;99
2018-05-28;23900;16837;868;542
2018-05-29;15544;11207;1736;403
2018-05-30;17496;12731;512;425
2018-05-31;14280;9856;828;319
2018-06-01;20023;14033;751;447
2018-06-02;24675;17748;793;575
2018-06-03;5253;3564;409;123
2018-06-04;8814;6227;437;217
2018-06-05;7815;5277;511;176
2018-06-06;7015;4838;477;160
2018-06-07;9443;6669;641;226
2018-06-08;7652;5287;642;187
2018-06-09;9340;6529;557;227
2018-06-10;5429;3675;374;124
2018-06-11;14233;10307;591;335
2018-06-12;11331;8021;439;263
2018-06-13;8183;5838;338;191
2018-06-14;10062;7258;523;240
2018-06-15;11720;8306;431;270
2018-06-16;5000;22;7;1
